image_path,label,original_path,source_folder
dataset/normalized/Receipt 32_tampered.jpg,tampered,dataset/tampered/Receipt 32_tampered.jpg,tampered
dataset/normalized/Receipt 35_tampered.jpg,tampered,dataset/tampered/Receipt 35_tampered.jpg,tampered
dataset/normalized/Receipt 39_tampered.jpg,tampered,dataset/tampered/Receipt 39_tampered.jpg,tampered
dataset/normalized/Receipt 40_tampered.jpg,tampered,dataset/tampered/Receipt 40_tampered.jpg,tampered
dataset/normalized/Receipt 42_tampered.jpg,tampered,dataset/tampered/Receipt 42_tampered.jpg,tampered
dataset/normalized/Receipt 44_tampered.jpg,tampered,dataset/tampered/Receipt 44_tampered.jpg,tampered
dataset/normalized/Receipt 46_tampered.jpg,tampered,dataset/tampered/Receipt 46_tampered.jpg,tampered
dataset/normalized/Receipt 47_tampered.jpg,tampered,dataset/tampered/Receipt 47_tampered.jpg,tampered
dataset/normalized/Receipt 48_tampered.jpg,tampered,dataset/tampered/Receipt 48_tampered.jpg,tampered
dataset/normalized/Receipt 49_tampered.jpg,tampered,dataset/tampered/Receipt 49_tampered.jpg,tampered
dataset/normalized/Receipt 5_tampered.jpg,tampered,dataset/tampered/Receipt 5_tampered.jpg,tampered
dataset/normalized/Receipt 50_tampered.jpg,tampered,dataset/tampered/Receipt 50_tampered.jpg,tampered
dataset/normalized/Receipt 6_tampered.jpg,tampered,dataset/tampered/Receipt 6_tampered.jpg,tampered
dataset/normalized/Receipt 7_tampered.jpg,tampered,dataset/tampered/Receipt 7_tampered.jpg,tampered
dataset/normalized/Receipt 8_tampered.jpg,tampered,dataset/tampered/Receipt 8_tampered.jpg,tampered
dataset/normalized/Receipt 9jpg_tampered.jpg,tampered,dataset/tampered/Receipt 9jpg_tampered.jpg,tampered
dataset/normalized/Receipt(1) 2_tampered.jpg,tampered,dataset/tampered/Receipt(1) 2_tampered.jpg,tampered
dataset/normalized/Receipt(1) 3_tampered.jpg,tampered,dataset/tampered/Receipt(1) 3_tampered.jpg,tampered
dataset/normalized/Receipt(1) 4_tampered.jpg,tampered,dataset/tampered/Receipt(1) 4_tampered.jpg,tampered
dataset/normalized/Receipt(1)_tampered.jpg,tampered,dataset/tampered/Receipt(1)_tampered.jpg,tampered
dataset/normalized/Receipt 1_tampered_v2.jpg,tampered,dataset/tampered/Receipt 1_tampered_v2.jpg,tampered
dataset/normalized/Receipt 10_tampered_v2.jpg,tampered,dataset/tampered/Receipt 10_tampered_v2.jpg,tampered
dataset/normalized/Receipt 11_tampered_v2.jpg,tampered,dataset/tampered/Receipt 11_tampered_v2.jpg,tampered
dataset/normalized/Receipt 12_tampered_v2.jpg,tampered,dataset/tampered/Receipt 12_tampered_v2.jpg,tampered
dataset/normalized/Receipt 14_tampered_v2.jpg,tampered,dataset/tampered/Receipt 14_tampered_v2.jpg,tampered
dataset/normalized/Receipt 15_tampered_v2.jpg,tampered,dataset/tampered/Receipt 15_tampered_v2.jpg,tampered
dataset/normalized/Receipt 16_tampered_v2.jpg,tampered,dataset/tampered/Receipt 16_tampered_v2.jpg,tampered
dataset/normalized/Receipt 17_tampered_v2.jpg,tampered,dataset/tampered/Receipt 17_tampered_v2.jpg,tampered
dataset/normalized/Receipt 18_tampered_v2.jpg,tampered,dataset/tampered/Receipt 18_tampered_v2.jpg,tampered
dataset/normalized/Receipt 19_tampered_v2.jpg,tampered,dataset/tampered/Receipt 19_tampered_v2.jpg,tampered
dataset/normalized/Receipt 2_tampered_v2.jpg,tampered,dataset/tampered/Receipt 2_tampered_v2.jpg,tampered
dataset/normalized/Receipt 20_tampered_v2.jpg,tampered,dataset/tampered/Receipt 20_tampered_v2.jpg,tampered
dataset/normalized/Receipt 22_tampered_v2.jpg,tampered,dataset/tampered/Receipt 22_tampered_v2.jpg,tampered
dataset/normalized/Receipt 24_tampered_v2.jpg,tampered,dataset/tampered/Receipt 24_tampered_v2.jpg,tampered
dataset/normalized/Receipt 25_tampered_v2.jpg,tampered,dataset/tampered/Receipt 25_tampered_v2.jpg,tampered
dataset/normalized/Receipt 26_tampered_v2.jpg,tampered,dataset/tampered/Receipt 26_tampered_v2.jpg,tampered
dataset/normalized/Receipt 27_tampered_v2.jpg,tampered,dataset/tampered/Receipt 27_tampered_v2.jpg,tampered
dataset/normalized/Receipt 29_tampered_v2.jpg,tampered,dataset/tampered/Receipt 29_tampered_v2.jpg,tampered
dataset/normalized/Receipt 30_tampered_v2.jpg,tampered,dataset/tampered/Receipt 30_tampered_v2.jpg,tampered
dataset/normalized/Receipt 31_tampered_v2.jpg,tampered,dataset/tampered/Receipt 31_tampered_v2.jpg,tampered
dataset/normalized/Receipt 32_tampered_v2.jpg,tampered,dataset/tampered/Receipt 32_tampered_v2.jpg,tampered
dataset/normalized/Receipt 35_tampered_v2.jpg,tampered,dataset/tampered/Receipt 35_tampered_v2.jpg,tampered
dataset/normalized/Receipt 37_tampered_v2.jpg,tampered,dataset/tampered/Receipt 37_tampered_v2.jpg,tampered
dataset/normalized/Receipt 38_tampered_v2.jpg,tampered,dataset/tampered/Receipt 38_tampered_v2.jpg,tampered
dataset/normalized/Receipt 39_tampered_v2.jpg,tampered,dataset/tampered/Receipt 39_tampered_v2.jpg,tampered
dataset/normalized/Receipt 4_tampered_v2.jpg,tampered,dataset/tampered/Receipt 4_tampered_v2.jpg,tampered
dataset/normalized/Receipt 40_tampered_v2.jpg,tampered,dataset/tampered/Receipt 40_tampered_v2.jpg,tampered
dataset/normalized/Receipt 42_tampered_v2.jpg,tampered,dataset/tampered/Receipt 42_tampered_v2.jpg,tampered
dataset/normalized/Receipt 44_tampered_v2.jpg,tampered,dataset/tampered/Receipt 44_tampered_v2.jpg,tampered
dataset/normalized/Receipt 45_tampered_v2.jpg,tampered,dataset/tampered/Receipt 45_tampered_v2.jpg,tampered
dataset/normalized/Receipt 47_tampered_v2.jpg,tampered,dataset/tampered/Receipt 47_tampered_v2.jpg,tampered
dataset/normalized/Receipt 48_tampered_v2.jpg,tampered,dataset/tampered/Receipt 48_tampered_v2.jpg,tampered
dataset/normalized/Receipt 49_tampered_v2.jpg,tampered,dataset/tampered/Receipt 49_tampered_v2.jpg,tampered
dataset/normalized/Receipt 5_tampered_v2.jpg,tampered,dataset/tampered/Receipt 5_tampered_v2.jpg,tampered
dataset/normalized/Receipt 50_tampered_v2.jpg,tampered,dataset/tampered/Receipt 50_tampered_v2.jpg,tampered
dataset/normalized/Receipt 6_tampered_v2.jpg,tampered,dataset/tampered/Receipt 6_tampered_v2.jpg,tampered
dataset/normalized/Receipt 7_tampered_v2.jpg,tampered,dataset/tampered/Receipt 7_tampered_v2.jpg,tampered
dataset/normalized/Receipt 9jpg_tampered_v2.jpg,tampered,dataset/tampered/Receipt 9jpg_tampered_v2.jpg,tampered
dataset/normalized/Receipt(1) 2_tampered_v2.jpg,tampered,dataset/tampered/Receipt(1) 2_tampered_v2.jpg,tampered
dataset/normalized/Receipt(1) 3_tampered_v2.jpg,tampered,dataset/tampered/Receipt(1) 3_tampered_v2.jpg,tampered
dataset/normalized/Receipt(1) 4_tampered_v2.jpg,tampered,dataset/tampered/Receipt(1) 4_tampered_v2.jpg,tampered
dataset/normalized/Receipt(1)_tampered_v2.jpg,tampered,dataset/tampered/Receipt(1)_tampered_v2.jpg,tampered
dataset/normalized/Receipt 1.jpg,genuine,dataset/indian/Receipt 1.jpg,indian
dataset/normalized/Receipt 2.jpg,tampered,dataset/indian/Receipt 2.jpg,indian
dataset/normalized/Receipt 7.jpg,tampered,dataset/indian/Receipt 7.jpg,indian
dataset/normalized/Receipt 9jpg.jpg,tampered,dataset/indian/Receipt 9jpg.jpg,indian
dataset/normalized/Receipt 10.jpg,genuine,dataset/indian/Receipt 10.jpg,indian
dataset/normalized/Receipt 11.jpg,tampered,dataset/indian/Receipt 11.jpg,indian
dataset/normalized/Receipt 12.jpg,tampered,dataset/indian/Receipt 12.jpg,indian
dataset/normalized/Receipt 13.jpg,genuine,dataset/indian/Receipt 13.jpg,indian
dataset/normalized/Receipt 15.jpg,tampered,dataset/indian/Receipt 15.jpg,indian
dataset/normalized/Receipt 16.jpg,genuine,dataset/indian/Receipt 16.jpg,indian
dataset/normalized/Receipt 17.jpg,tampered,dataset/indian/Receipt 17.jpg,indian
dataset/normalized/Receipt 19.jpg,tampered,dataset/indian/Receipt 19.jpg,indian
dataset/normalized/Receipt 21.jpg,tampered,dataset/indian/Receipt 21.jpg,indian
dataset/normalized/Receipt 22.jpg,genuine,dataset/indian/Receipt 22.jpg,indian
dataset/normalized/Receipt 24.jpg,tampered,dataset/indian/Receipt 24.jpg,indian
dataset/normalized/Receipt 25.jpg,genuine,dataset/indian/Receipt 25.jpg,indian
dataset/normalized/Receipt 26.jpg,tampered,dataset/indian/Receipt 26.jpg,indian
dataset/normalized/Receipt 27.jpg,genuine,dataset/indian/Receipt 27.jpg,indian
dataset/normalized/Receipt 28.jpg,genuine,dataset/indian/Receipt 28.jpg,indian
dataset/normalized/Receipt 29.jpg,genuine,dataset/indian/Receipt 29.jpg,indian
dataset/normalized/Receipt 30.jpg,genuine,dataset/indian/Receipt 30.jpg,indian
dataset/normalized/Receipt 34.jpg,tampered,dataset/indian/Receipt 34.jpg,indian
dataset/normalized/Receipt 35.jpg,genuine,dataset/indian/Receipt 35.jpg,indian
dataset/normalized/Receipt 37.jpg,tampered,dataset/indian/Receipt 37.jpg,indian
dataset/normalized/Receipt 38.jpg,genuine,dataset/indian/Receipt 38.jpg,indian
dataset/normalized/Receipt 39.jpg,genuine,dataset/indian/Receipt 39.jpg,indian
dataset/normalized/Receipt 43.jpg,tampered,dataset/indian/Receipt 43.jpg,indian
dataset/normalized/Receipt 44.jpg,tampered,dataset/indian/Receipt 44.jpg,indian
dataset/normalized/Receipt 45.jpg,tampered,dataset/indian/Receipt 45.jpg,indian
dataset/normalized/Receipt 46.jpg,genuine,dataset/indian/Receipt 46.jpg,indian
dataset/normalized/Receipt 47.jpg,genuine,dataset/indian/Receipt 47.jpg,indian
dataset/normalized/Receipt 48.jpg,tampered,dataset/indian/Receipt 48.jpg,indian
dataset/normalized/Receipt 49.jpg,tampered,dataset/indian/Receipt 49.jpg,indian
dataset/normalized/Receipt 51.jpg,genuine,dataset/indian/Receipt 51.jpg,indian
dataset/normalized/Receipt 52.jpg,genuine,dataset/indian/Receipt 52.jpg,indian
dataset/normalized/Receipt 53 pdf.jpg,genuine,dataset/indian/Receipt 53 pdf.jpg,indian
dataset/normalized/Receipt 54.jpg,genuine,dataset/indian/Receipt 54.jpg,indian
dataset/normalized/Receipt 55 pdf.jpg,genuine,dataset/indian/Receipt 55 pdf.jpg,indian
dataset/normalized/Receipt 56.jpg,genuine,dataset/indian/Receipt 56.jpg,indian
dataset/normalized/Receipt 57.jpg,genuine,dataset/indian/Receipt 57.jpg,indian
dataset/normalized/Receipt 58.jpg,genuine,dataset/indian/Receipt 58.jpg,indian
dataset/normalized/Receipt 59.jpg,genuine,dataset/indian/Receipt 59.jpg,indian
dataset/normalized/Receipt 60.jpg,genuine,dataset/indian/Receipt 60.jpg,indian
dataset/normalized/Receipt 61.jpg,genuine,dataset/indian/Receipt 61.jpg,indian
dataset/normalized/Receipt 62.jpg,genuine,dataset/indian/Receipt 62.jpg,indian
dataset/normalized/Receipt 64.jpg,genuine,dataset/indian/Receipt 64.jpg,indian
dataset/normalized/Receipt 65.jpg,tampered,dataset/indian/Receipt 65.jpg,indian
dataset/normalized/Receipt 66.jpg,genuine,dataset/indian/Receipt 66.jpg,indian
dataset/normalized/Receipt 67.jpg,tampered,dataset/indian/Receipt 67.jpg,indian
dataset/normalized/Receipt 68.jpg,genuine,dataset/indian/Receipt 68.jpg,indian
dataset/normalized/Receipt 69.jpg,genuine,dataset/indian/Receipt 69.jpg,indian
dataset/normalized/Receipt 70.jpg,genuine,dataset/indian/Receipt 70.jpg,indian
dataset/normalized/Receipt 71.jpg,genuine,dataset/indian/Receipt 71.jpg,indian
dataset/normalized/Receipt 72.jpg,genuine,dataset/indian/Receipt 72.jpg,indian
dataset/normalized/Receipt 73.jpg,genuine,dataset/indian/Receipt 73.jpg,indian
dataset/normalized/Receipt 74.jpg,tampered,dataset/indian/Receipt 74.jpg,indian
dataset/normalized/Receipt 76.jpg,genuine,dataset/indian/Receipt 76.jpg,indian
dataset/normalized/Receipt 77.jpg,genuine,dataset/indian/Receipt 77.jpg,indian
dataset/normalized/Receipt 78.jpg,genuine,dataset/indian/Receipt 78.jpg,indian
dataset/normalized/Receipt 80.jpg,tampered,dataset/indian/Receipt 80.jpg,indian
dataset/normalized/Receipt 82.jpg,genuine,dataset/indian/Receipt 82.jpg,indian
dataset/normalized/Receipt 83.jpg,tampered,dataset/indian/Receipt 83.jpg,indian
dataset/normalized/Receipt 84.jpg,genuine,dataset/indian/Receipt 84.jpg,indian
dataset/normalized/Receipt 85.jpg,genuine,dataset/indian/Receipt 85.jpg,indian
dataset/normalized/Receipt 86.jpg,genuine,dataset/indian/Receipt 86.jpg,indian
dataset/normalized/Receipt 87.jpg,genuine,dataset/indian/Receipt 87.jpg,indian
dataset/normalized/Receipt 89.jpg,genuine,dataset/indian/Receipt 89.jpg,indian
dataset/normalized/Receipt 90.jpg,genuine,dataset/indian/Receipt 90.jpg,indian
dataset/normalized/Receipt 91.jpg,genuine,dataset/indian/Receipt 91.jpg,indian
dataset/normalized/Receipt 92.jpg,genuine,dataset/indian/Receipt 92.jpg,indian
dataset/normalized/Receipt 94.jpg,genuine,dataset/indian/Receipt 94.jpg,indian
dataset/normalized/Receipt 95.jpg,genuine,dataset/indian/Receipt 95.jpg,indian
dataset/normalized/Receipt 96.jpg,genuine,dataset/indian/Receipt 96.jpg,indian
dataset/normalized/Receipt 97.jpg,genuine,dataset/indian/Receipt 97.jpg,indian
dataset/normalized/Receipt 99.jpg,genuine,dataset/indian/Receipt 99.jpg,indian
dataset/normalized/Receipt 12_tampered.jpg,tampered,dataset/tampered/Receipt 12_tampered.jpg,tampered
dataset/normalized/Receipt 13_tampered.jpg,tampered,dataset/tampered/Receipt 13_tampered.jpg,tampered
dataset/normalized/Receipt 15_tampered.jpg,tampered,dataset/tampered/Receipt 15_tampered.jpg,tampered
dataset/normalized/Receipt 2_tampered.jpg,tampered,dataset/tampered/Receipt 2_tampered.jpg,tampered
dataset/normalized/Receipt 22_tampered.jpg,tampered,dataset/tampered/Receipt 22_tampered.jpg,tampered
dataset/normalized/Receipt 26_tampered.jpg,tampered,dataset/tampered/Receipt 26_tampered.jpg,tampered
dataset/normalized/Receipt 33_tampered.jpg,tampered,dataset/tampered/Receipt 33_tampered.jpg,tampered
dataset/normalized/Receipt 36_tampered.jpg,tampered,dataset/tampered/Receipt 36_tampered.jpg,tampered
dataset/normalized/Receipt 37_tampered.jpg,tampered,dataset/tampered/Receipt 37_tampered.jpg,tampered
dataset/normalized/Receipt 38_tampered.jpg,tampered,dataset/tampered/Receipt 38_tampered.jpg,tampered
dataset/normalized/Receipt 4_tampered.jpg,tampered,dataset/tampered/Receipt 4_tampered.jpg,tampered
dataset/normalized/Receipt 45_tampered.jpg,tampered,dataset/tampered/Receipt 45_tampered.jpg,tampered
dataset/normalized/Receipt 13_tampered_v2.jpg,tampered,dataset/tampered/Receipt 13_tampered_v2.jpg,tampered
dataset/normalized/Receipt 23_tampered_v2.jpg,tampered,dataset/tampered/Receipt 23_tampered_v2.jpg,tampered
dataset/normalized/Receipt 28_tampered_v2.jpg,tampered,dataset/tampered/Receipt 28_tampered_v2.jpg,tampered
dataset/normalized/Receipt 3_tampered_v2.jpg,tampered,dataset/tampered/Receipt 3_tampered_v2.jpg,tampered
dataset/normalized/Receipt 33_tampered_v2.jpg,tampered,dataset/tampered/Receipt 33_tampered_v2.jpg,tampered
dataset/normalized/Receipt 36_tampered_v2.jpg,tampered,dataset/tampered/Receipt 36_tampered_v2.jpg,tampered
dataset/normalized/Receipt 46_tampered_v2.jpg,tampered,dataset/tampered/Receipt 46_tampered_v2.jpg,tampered
dataset/normalized/Receipt 8_tampered_v2.jpg,tampered,dataset/tampered/Receipt 8_tampered_v2.jpg,tampered
dataset/normalized/Receipt 14.jpg,genuine,dataset/indian/Receipt 14.jpg,indian
dataset/normalized/Receipt 18.jpg,genuine,dataset/indian/Receipt 18.jpg,indian
dataset/normalized/Receipt 20.jpg,genuine,dataset/indian/Receipt 20.jpg,indian
dataset/normalized/Receipt 23.jpg,genuine,dataset/indian/Receipt 23.jpg,indian
dataset/normalized/Receipt 31.jpg,genuine,dataset/indian/Receipt 31.jpg,indian
dataset/normalized/Receipt 32.jpg,genuine,dataset/indian/Receipt 32.jpg,indian
dataset/normalized/Receipt 33.jpg,tampered,dataset/indian/Receipt 33.jpg,indian
dataset/normalized/Receipt 36.jpg,genuine,dataset/indian/Receipt 36.jpg,indian
dataset/normalized/Receipt 40.jpg,tampered,dataset/indian/Receipt 40.jpg,indian
dataset/normalized/Receipt 42.jpg,tampered,dataset/indian/Receipt 42.jpg,indian
dataset/normalized/Receipt 50.jpg,tampered,dataset/indian/Receipt 50.jpg,indian
dataset/normalized/Receipt 63.jpg,genuine,dataset/indian/Receipt 63.jpg,indian
dataset/normalized/Receipt 75.jpg,genuine,dataset/indian/Receipt 75.jpg,indian
dataset/normalized/Receipt 79.jpg,genuine,dataset/indian/Receipt 79.jpg,indian
dataset/normalized/Receipt 81.jpg,tampered,dataset/indian/Receipt 81.jpg,indian
dataset/normalized/Receipt 88.jpg,tampered,dataset/indian/Receipt 88.jpg,indian
dataset/normalized/Receipt 93.jpg,genuine,dataset/indian/Receipt 93.jpg,indian
dataset/normalized/Receipt 98.jpg,genuine,dataset/indian/Receipt 98.jpg,indian
dataset/normalized/Receipt 100.jpg,genuine,dataset/indian/Receipt 100.jpg,indian
