image_path,label,is_tampered,binary_eligible,labelled_by,needs_pdf_conversion,image_present
dataset/tampered/Receipt 2_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 20_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 22_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 24_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 25_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 26_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 27_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 29_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 30_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 31_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 32_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 35_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 37_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 38_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 39_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 4_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 40_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 42_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 44_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 45_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 47_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 48_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 49_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 5_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 50_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 6_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 7_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 9jpg_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt(1) 2_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt(1) 3_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt(1) 4_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt(1)_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/indian/Receipt 1.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 2.jpg,tampered,1,1,Jyoti,0,1
dataset/indian/Receipt 7.jpg,tampered,1,1,Jyoti,0,1
dataset/indian/Receipt 9jpg.jpg,tampered,1,1,Jyoti,0,1
dataset/indian/Receipt 10.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 11.jpg,tampered,1,1,Jyoti,0,1
dataset/indian/Receipt 12.jpg,tampered,1,1,Jyoti,0,1
dataset/indian/Receipt 13.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 15.jpg,tampered,1,1,Jyoti,0,1
dataset/indian/Receipt 16.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 17.jpg,tampered,1,1,Jyoti,0,1
dataset/indian/Receipt 19.jpg,tampered,1,1,Jyoti,0,1
dataset/indian/Receipt 21.jpg,tampered,1,1,Jyoti,0,1
dataset/indian/Receipt 22.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 24.jpg,tampered,1,1,Jyoti,0,1
dataset/indian/Receipt 25.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 26.jpg,tampered,1,1,Jyoti,0,1
dataset/indian/Receipt 27.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 28.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 29.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 30.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 34.jpg,tampered,1,1,Jyoti,0,1
dataset/indian/Receipt 35.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 37.jpg,tampered,1,1,Jyoti,0,1
dataset/indian/Receipt 38.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 39.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 43.jpg,tampered,1,1,Jyoti,0,1
dataset/indian/Receipt 44.jpg,tampered,1,1,Jyoti,0,1
dataset/indian/Receipt 45.jpg,tampered,1,1,Jyoti,0,1
dataset/indian/Receipt 46.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 47.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 48.jpg,tampered,1,1,Jyoti,0,1
dataset/indian/Receipt 49.jpg,tampered,1,1,Jyoti,0,1
dataset/indian/Receipt 51.pdf,genuine,0,1,Jyoti,1,1
dataset/indian/Receipt 52.pdf,genuine,0,1,Jyoti,1,1
dataset/indian/Receipt 53 pdf.pdf,genuine,0,1,Jyoti,1,1
dataset/indian/Receipt 54.pdf,genuine,0,1,Jyoti,1,1
dataset/indian/Receipt 55 pdf.pdf,genuine,0,1,Jyoti,1,1
dataset/indian/Receipt 56.pdf,genuine,0,1,Jyoti,1,1
dataset/indian/Receipt 57.pdf,genuine,0,1,Jyoti,1,1
dataset/indian/Receipt 58.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 59.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 60.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 61.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 62.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 64.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 65.jpg,tampered,1,1,Jyoti,0,1
dataset/indian/Receipt 66.pdf,genuine,0,1,Jyoti,1,1
dataset/indian/Receipt 67.pdf,tampered,1,1,Jyoti,1,1
dataset/indian/Receipt 68.pdf,genuine,0,1,Jyoti,1,1
dataset/indian/Receipt 69.pdf,genuine,0,1,Jyoti,1,1
dataset/indian/Receipt 70.pdf,genuine,0,1,Jyoti,1,1
dataset/indian/Receipt 71.pdf,genuine,0,1,Jyoti,1,1
dataset/indian/Receipt 72.pdf,genuine,0,1,Jyoti,1,1
dataset/indian/Receipt 73.pdf,genuine,0,1,Jyoti,1,1
dataset/indian/Receipt 74.pdf,tampered,1,1,Jyoti,1,1
dataset/indian/Receipt 76.pdf,genuine,0,1,Jyoti,1,1
dataset/indian/Receipt 77.pdf,genuine,0,1,Jyoti,1,1
dataset/indian/Receipt 78.pdf,genuine,0,1,Jyoti,1,1
dataset/indian/Receipt 80.pdf,tampered,1,1,Jyoti,1,1
dataset/indian/Receipt 82.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 83.jpg,tampered,1,1,Jyoti,0,1
dataset/indian/Receipt 84.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 85.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 86.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 87.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 89.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 90.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 91.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 92.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 94.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 95.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 96.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 97.jpg,genuine,0,1,Jyoti,0,1
dataset/indian/Receipt 99.jpg,genuine,0,1,Jyoti,0,1
